blob_sha,size_bytes,path
962b72b93a4fb98d7e142fbea9b0bfe6c7a8bbc9,314364,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16420.atr
582223a23e3e5923d7a0b2de22bd7560b9549670,304326,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16265.atr
f5ad91c0f815b57da08a572198038acc06d1c157,294692,components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf10.ecg
ddab346455e9f7328f69fe09e9a4edb31f8a1d37,274178,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16539.atr
326a473283162dd0e1f682c8aff886b7a4b6b85c,271341,components/afe_xmodel/docs/digital_design/feature_docs/Top 10 Features Box plotting.pdf
738e492e2ca52d5df690804cb10d2b29d120fd37,268342,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16272.atr
eee388d8b6d7e7362c4d3136aab1861e7e9d6785,261466,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/17453.atr
eb84fc848995aa5f3e2bdb53fe144e172b962551,259694,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/19140.atr
7767485925658138c87dc168fe31eebf60ae9c61,257590,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16795.atr
822002111cab2777ff41d213ce34ec6da055b100,257534,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16483.atr
ab6a1307fff1b83460e9868f3aa85c0471b117cc,250552,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16273.atr
b5fa0544f75c940c1c9891547b96c371c82e9941,243326,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/19090.atr
dea01256acbe4ccacbf339f74aaba294370fa1d1,240000,components/afe_xmodel/fpga/SNN_ECG.srcs/sources_1/board/demo_aff.mem
5ee848dcb27738e544e17e1f98e44f0cae11f176,240000,components/afe_xmodel/fpga/SNN_ECG.srcs/sources_1/board/demo_arr.mem
005e9d3ed9bc1318eb621b1ba1ff5cf3d1ad2442,240000,components/afe_xmodel/fpga/SNN_ECG.srcs/sources_1/board/demo_chf.mem
dca5bb963468f56ad482d19c8d5676a8bcdcfee9,240000,components/afe_xmodel/fpga/SNN_ECG.srcs/sources_1/board/demo_nsr.mem
04d536af3f490243bc1ae8c4c240f44323291884,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/AFF/adc_offset_binary.mem
d8ec1e5e9697bc794ce09c8fa7f96149797d2734,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/AFF/adc_signed_twos_complement.mem
d4131ef8ea8240983a94f77e9b327e4b991125a7,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/ARR/adc_offset_binary.mem
e6dbdc23354661798cbc303f82fb26acb77b94b8,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/ARR/adc_signed_twos_complement.mem
14ec5d581a63c97d79d256d740a73f3d0a20da71,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/CHF/adc_offset_binary.mem
abf9085bf561150c2d23883ed3962993c2f7e87e,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/CHF/adc_signed_twos_complement.mem
17add5198aed6f2a5e2f1e13fb97e236c55cdd04,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/NSR/adc_offset_binary.mem
6e57ead25186beb2183f0d70044eaf8d4e66cef3,240000,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/NSR/adc_signed_twos_complement.mem
ccf695804049d4b22768d8353d9991c11b7a1f8d,238520,components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf06.ecg
3ac10de332ef757a6dcee0de1a3abd718af10222,238308,components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf05.ecg
d8e50f6d4932b99c2bf827b2bd0028536d60c0c0,236748,components/afe_xmodel/digital_block/ip_repo/snn_ecg_axi_accelerator/src/class_score_neurons.v
2c3724d17f387247fe33600d238b95f74a2f0ba2,236284,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/19093.atr
09a22d054914bae799e99bad995cbfaf0c6b4115,235968,components/digital_accelerator/results/board_replay/microblaze_full_replay/reports/system_utilization_hier.rpt
f05fef5348a62b750715ce2ec4965f5f25d0d74c,232250,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/18184.atr
62a01cda5db268a142bd8d70d9cfbfc8a60f03bc,231302,components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf13.ecg
a351749d700f6331b65406193e53f25bd6b2ad9d,231280,components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf11.ecg
