test_id,variant,source_schematic,simulation_type,metric,target,measured,unit,deviation,status,evidence_path,notes
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,rms_code_difference_after_2s,,146.606154941,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,maximum_code_difference_after_2s,,206,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,0.941162341392,V,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,signed_code_min,,-186,code,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,signed_code_max,,303,code,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,mean_code_difference_after_2s,,-0.000333333333333,LSB,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,mae_code_difference_after_2s,,0.00366666666667,LSB,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,rms_code_difference_after_2s,,0.0605530070819,LSB,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,maximum_code_difference_after_2s,,1,LSB,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0_pli60.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,0.936573946603,V,,MEASURED,results/xmodel_aligned/raw/xma_mm_0_pli60.raw,reference=MM0 PLI60
STRESS_mm_0p1pct_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0p1pct_pli60.cir,TRAN,signed_code_min,,-185,code,,MEASURED,results/xmodel_aligned/raw/xma_mm_0p1pct_pli60.raw,reference=MM0 PLI60
STRESS_mm_0p1pct_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0p1pct_pli60.cir,TRAN,signed_code_max,,304,code,,MEASURED,results/xmodel_aligned/raw/xma_mm_0p1pct_pli60.raw,reference=MM0 PLI60
STRESS_mm_0p1pct_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0p1pct_pli60.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_mm_0p1pct_pli60.raw,reference=MM0 PLI60
STRESS_mm_0p1pct_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_mm_0p1pct_pli60.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_mm_0p1pct_pli60.raw,reference=MM0 PLI60
