scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",17,118,8,"CLBLM_R_X5Y86"
"accelerator",23,109,9,"CLBLM_R_X7Y95"
"accelerator",23,110,9,"CLBLM_R_X7Y94"
"accelerator",23,111,8,"CLBLM_R_X7Y93"
"accelerator",24,103,1,"CLBLM_L_X8Y100"
"accelerator",24,105,4,"CLBLM_L_X8Y99"
"accelerator",24,106,12,"CLBLM_L_X8Y98"
"accelerator",24,107,14,"CLBLM_L_X8Y97"
"accelerator",24,108,13,"CLBLM_L_X8Y96"
"accelerator",24,109,11,"CLBLM_L_X8Y95"
"accelerator",24,110,17,"CLBLM_L_X8Y94"
"accelerator",24,111,18,"CLBLM_L_X8Y93"
"accelerator",24,112,17,"CLBLM_L_X8Y92"
"accelerator",24,113,9,"CLBLM_L_X8Y91"
"accelerator",24,115,1,"CLBLM_L_X8Y89"
"accelerator",24,116,2,"CLBLM_L_X8Y88"
"accelerator",24,117,4,"CLBLM_L_X8Y87"
"accelerator",30,105,1,"CLBLM_L_X10Y99"
"accelerator",30,106,11,"CLBLM_L_X10Y98"
"accelerator",30,107,14,"CLBLM_L_X10Y97"
"accelerator",30,108,14,"CLBLM_L_X10Y96"
"accelerator",30,109,6,"CLBLM_L_X10Y95"
"accelerator",30,110,16,"CLBLM_L_X10Y94"
"accelerator",30,111,18,"CLBLM_L_X10Y93"
"accelerator",30,112,17,"CLBLM_L_X10Y92"
"accelerator",30,113,10,"CLBLM_L_X10Y91"
"accelerator",30,114,10,"CLBLM_L_X10Y90"
"accelerator",30,115,10,"CLBLM_L_X10Y89"
"accelerator",30,116,10,"CLBLM_L_X10Y88"
"accelerator",30,117,9,"CLBLM_L_X10Y87"
"accelerator",30,118,7,"CLBLM_L_X10Y86"
"accelerator",30,162,5,"CLBLM_L_X10Y44"
"accelerator",30,163,8,"CLBLM_L_X10Y43"
"accelerator",30,164,16,"CLBLM_L_X10Y42"
"accelerator",30,166,2,"CLBLM_L_X10Y40"
"accelerator",33,106,14,"CLBLM_R_X11Y98"
"accelerator",33,107,18,"CLBLM_R_X11Y97"
"accelerator",33,108,18,"CLBLM_R_X11Y96"
"accelerator",33,109,4,"CLBLM_R_X11Y95"
"accelerator",33,110,14,"CLBLM_R_X11Y94"
"accelerator",33,111,9,"CLBLM_R_X11Y93"
"accelerator",33,112,18,"CLBLM_R_X11Y92"
"accelerator",33,113,11,"CLBLM_R_X11Y91"
"accelerator",33,114,8,"CLBLM_R_X11Y90"
"accelerator",33,115,6,"CLBLM_R_X11Y89"
"accelerator",33,116,5,"CLBLM_R_X11Y88"
"accelerator",33,117,11,"CLBLM_R_X11Y87"
"accelerator",33,118,11,"CLBLM_R_X11Y86"
"accelerator",33,119,2,"CLBLM_R_X11Y85"
"accelerator",33,141,5,"CLBLM_R_X11Y64"
"accelerator",33,163,5,"CLBLM_R_X11Y43"
"accelerator",33,164,5,"CLBLM_R_X11Y42"
"accelerator",35,164,2,"CLBLL_L_X12Y42"
"accelerator",35,165,2,"CLBLL_L_X12Y41"
"accelerator",35,166,1,"CLBLL_L_X12Y40"
"accelerator",35,167,4,"CLBLL_L_X12Y39"
